"","Functionality","x1","x2","x3","x4","x5","x6","x7","x8"
"145","1","2","1","1","1","3","2","1","1"
"146","1","3","2","3","1","2","2","3","1"
"147","1","2","1","1","1","3","2","1","2"
"148","1","3","2","3","1","2","2","3","3"
"149","1","2","1","1","1","3","2","2","1"
"150","1","3","2","3","1","2","3","1","1"
"151","1","2","1","1","1","3","2","2","3"
"152","1","3","2","3","1","2","3","2","2"
"153","1","2","1","1","1","3","3","1","2"
"154","1","3","2","3","1","2","3","2","3"
"155","1","2","1","1","1","3","3","2","2"
"156","1","3","2","3","1","2","3","3","1"
"157","1","2","1","1","3","1","1","2","1"
"158","1","3","2","3","1","2","3","3","2"
"159","1","2","1","1","3","2","1","1","2"
"160","1","3","2","3","1","2","3","3","3"
"161","1","2","1","1","3","2","1","1","3"
"162","1","3","2","3","1","3","1","3","3"
"163","1","2","1","1","3","2","2","1","2"
"164","1","3","2","3","1","3","2","3","1"
"165","1","2","1","1","3","2","2","2","2"
"166","1","3","2","3","1","3","2","3","2"
"167","1","2","1","1","3","2","3","1","1"
"168","1","3","2","3","1","3","2","3","3"
"169","1","2","1","1","3","2","3","1","3"
"170","1","3","2","3","1","3","3","1","3"
"171","1","2","1","1","3","2","3","2","1"
"172","1","3","2","3","1","3","3","3","2"
"173","1","2","1","1","3","2","3","2","3"
"174","1","3","2","3","1","3","3","3","3"
"175","1","2","1","1","3","3","1","1","2"
"176","1","3","2","3","3","2","1","3","3"
"177","1","2","1","1","3","3","1","1","3"
"178","1","3","2","3","3","2","2","2","3"
"179","1","2","1","1","3","3","1","3","1"
"180","1","3","2","3","3","2","2","3","1"
"181","1","2","1","1","3","3","2","1","1"
"182","1","3","2","3","3","2","2","3","2"
"183","1","2","1","1","3","3","2","2","2"
"184","1","3","2","3","3","2","3","2","2"
"185","1","2","1","1","3","3","2","2","3"
"186","1","3","2","3","3","2","3","2","3"
"187","1","2","1","1","3","3","2","3","2"
"188","1","3","2","3","3","2","3","3","1"
"189","1","2","1","1","3","3","2","3","3"
"190","1","3","2","3","3","2","3","3","2"
"191","1","2","1","1","3","3","3","1","2"
"192","1","3","2","3","3","2","3","3","3"
"193","1","2","1","1","3","3","3","1","3"
"194","1","3","2","3","3","3","2","2","3"
"195","1","2","1","1","3","3","3","2","1"
"196","1","3","2","3","3","3","2","3","2"
"197","1","2","1","1","3","3","3","2","2"
"198","1","3","2","3","3","3","2","3","3"
"199","1","2","1","1","3","3","3","3","1"
"200","1","3","2","3","3","3","3","1","2"
"201","1","2","1","1","3","3","3","3","2"
"202","1","3","2","3","3","3","3","2","3"
"203","1","2","1","2","1","1","2","2","3"
"204","1","3","2","3","3","3","3","3","3"
"205","1","2","1","2","1","1","3","2","1"
"206","1","3","3","1","1","3","1","1","1"
"207","1","2","1","2","1","2","1","1","1"
"208","1","3","3","1","1","3","2","1","1"
"209","1","2","1","2","1","2","1","1","2"
"210","1","3","3","1","1","3","2","1","2"
"211","1","2","1","2","1","2","1","2","2"
"212","1","3","3","1","1","3","2","3","3"
"213","1","2","1","2","1","2","1","2","3"
"214","1","3","3","1","3","1","3","3","3"
"215","1","2","1","2","1","2","1","3","3"
"216","1","3","3","1","3","3","1","3","1"
"217","1","2","1","2","1","2","2","1","2"
"218","1","3","3","1","3","3","3","3","3"
"219","1","2","1","2","1","2","2","1","3"
"220","1","3","3","2","1","2","2","1","3"
"221","1","2","1","2","1","2","2","3","1"
"222","1","3","3","2","1","2","3","1","1"
"223","1","2","1","2","1","2","3","2","1"
"224","1","3","3","2","1","2","3","3","3"
"225","1","2","1","2","1","2","3","3","2"
"226","1","3","3","2","1","3","2","1","1"
"227","1","2","1","2","1","2","3","3","3"
"228","1","3","3","2","1","3","2","3","2"
"229","1","2","1","2","1","3","1","2","1"
"230","1","3","3","2","1","3","3","3","3"
"231","1","2","1","2","1","3","2","1","2"
"232","1","3","3","2","3","2","2","3","3"
"233","1","2","1","2","1","3","2","2","3"
"234","1","3","3","2","3","2","3","1","2"
"235","1","2","1","2","1","3","2","3","1"
"236","1","3","3","2","3","2","3","3","3"
"237","1","2","1","2","1","3","3","2","1"
"238","1","3","3","2","3","3","1","3","1"
"239","1","2","1","2","1","3","3","3","2"
"240","1","3","3","2","3","3","2","3","3"
"241","1","2","1","2","2","2","1","1","2"
"242","1","3","3","2","3","3","3","3","3"
"243","1","2","1","2","3","1","2","3","3"
"244","1","3","3","3","1","1","2","3","1"
"245","1","2","1","2","3","2","1","1","2"
"246","1","3","3","3","1","2","1","3","3"
"247","1","2","1","2","3","2","1","2","2"
"248","1","3","3","3","1","2","3","2","2"
"249","1","2","1","2","3","2","1","3","2"
"250","1","3","3","3","1","2","3","3","3"
"251","1","2","1","2","3","2","2","1","2"
"252","1","3","3","3","1","3","2","3","3"
"253","1","2","1","2","3","2","2","2","2"
"254","1","3","3","3","1","3","3","2","3"
"255","1","2","1","2","3","2","2","3","1"
"256","1","3","3","3","1","3","3","3","3"
"257","1","2","1","2","3","2","2","3","2"
"258","1","3","3","3","3","1","2","3","2"
"259","1","2","1","2","3","2","2","3","3"
"260","1","3","3","3","3","1","2","3","3"
"261","1","2","1","2","3","2","3","2","1"
"262","1","3","3","3","3","1","3","3","3"
"263","1","2","1","2","3","2","3","2","2"
"264","1","3","3","3","3","2","1","3","1"
"265","1","2","1","2","3","2","3","2","3"
"266","1","3","3","3","3","2","1","3","3"
"267","1","2","1","2","3","2","3","3","2"
"268","1","3","3","3","3","2","2","3","2"
"269","1","2","1","2","3","3","1","1","1"
"270","1","3","3","3","3","2","2","3","3"
"271","1","2","1","2","3","3","1","3","2"
"272","1","3","3","3","3","2","3","2","3"
"273","1","2","1","2","3","3","2","1","2"
